Generation, Best Fitness, Average Fitness
1, -85.15238, -269.56295
2, -80.58071, -302.91007
3, -80.58071, -322.14263
4, -63.24120, -144.32663
5, -63.24120, -312.59277
6, -63.24120, -179.21821
7, -4.06478, -201.93797
8, -4.06478, -374.56086
9, -4.06478, -266.10747
10, -4.06478, -804.57745
11, -4.06478, -202.12561
12, -4.06478, -138.47807
13, -4.06478, -159.41316
14, -4.06478, -165.40551
15, -4.06478, -160.71711
16, -4.06478, -269.66994
17, -4.06478, -232.41606
18, -4.06478, -224.79338
19, -4.06478, -148.50667
20, -3.31400, -464.63086
21, -3.31400, -125.14161
22, -3.31400, -97.29949
23, -2.44335, -76.67365
24, -2.44335, -71.11850
25, -2.44335, -65.33795
26, -2.44335, -50.43754
27, -2.20775, -39.99788
28, -2.20775, -34.04907
29, -1.67890, -27.32480
30, -1.67890, -27.97674
31, -1.67890, -19.15691
32, -1.67890, -166.69352
33, -1.67890, -164.80176
34, -1.67890, -12.54235
35, -1.67890, -12.62368
36, -1.67890, -13.88346
37, -1.67890, -13.79808
38, -1.67890, -9.29426
39, -1.67890, -8.43779
40, -1.67890, -8.38984
41, -1.62910, -9.62797
42, -1.62910, -8.76395
43, -1.62910, -6.84485
44, -1.62910, -187.99787
45, -1.62910, -8.57648
46, -1.62910, -8.44061
47, -1.62910, -7.87273
48, -1.61109, -7.07773
49, -1.61109, -6.80793
50, -1.61109, -7.03417
51, -1.61109, -6.60265
52, -1.61109, -5.49399
53, -1.61109, -6.81802
54, -1.61109, -4.92613
55, -1.61109, -7.32935
56, -1.61109, -8.92557
57, -1.61109, -6.35930
58, -1.61109, -9.04911
59, -1.61109, -8.42023
60, -1.59044, -7.80497
61, -1.59044, -7.38099
62, -1.59044, -6.62814
63, -1.50125, -9.34224
64, -1.49584, -4.29696
65, -1.49584, -7.79306
66, -1.48541, -6.58140
67, -1.48541, -8.02931
68, -1.48211, -6.06408
69, -1.45639, -5.14023
70, -1.45639, -5.02578
71, -1.45639, -6.55542
72, -1.45639, -5.15647
73, -1.45639, -5.13159
74, -1.45639, -4.02191
75, -1.45639, -4.65808
76, -1.45639, -4.57064
77, -1.45639, -7.62416
78, -1.45639, -6.79999
79, -1.45639, -4.44279
