Generation, Best Fitness, Average Fitness
1, -63.57061, -286.29917
2, -63.57061, -225.21695
3, -63.57061, -180.28256
4, -63.57061, -257.85194
5, -63.57061, -235.03831
6, -63.57061, -251.03616
7, -63.37080, -385.68193
8, -63.37080, -359.20893
9, -63.37080, -361.98220
10, -63.33092, -442.26848
11, -63.17539, -846.93738
12, -62.72788, -433.85253
13, -62.72788, -825.57438
14, -62.72788, -1535.80497
15, -62.72788, -1221.02908
16, -62.53596, -476.15370
17, -62.41736, -643.38376
18, -62.41736, -577.49640
19, -61.00543, -282.34927
20, -61.00543, -268.41884
21, -61.00543, -482.43776
22, -61.00543, -206.71377
23, -61.00543, -227.14664
24, -61.00543, -598.70548
25, -61.00543, -245.99966
26, -61.00543, -269.78199
27, -61.00543, -206.25803
28, -60.62938, -143.41249
29, -60.40283, -245.08379
30, -60.40283, -370.27057
31, -59.23080, -135.78596
32, -59.23080, -204.82869
33, -58.35930, -125.93140
34, -58.35930, -109.33038
35, -58.35930, -174.63575
36, -58.35930, -1599.80359
37, -55.89454, -89.02552
38, -55.89454, -259.86729
39, -52.09010, -88.41470
40, -52.09010, -71.89764
41, -51.41821, -106.81380
42, -51.41821, -72.42364
43, -51.16750, -289.66653
44, -51.16750, -256.77764
45, -51.16750, -111.67985
46, -51.16750, -96.51130
47, -51.16750, -98.78892
48, -51.06921, -69.72867
49, -50.99982, -95.96605
50, -50.97152, -90.06727
51, -50.96863, -77.41257
52, -50.96521, -76.48359
53, -50.20087, -66.86838
54, -50.20087, -69.07903
55, -50.18452, -70.00024
56, -50.15604, -66.76080
57, -50.15604, -81.65304
58, -50.15535, -69.44437
59, -49.91648, -64.69506
60, -49.91393, -82.45716
61, -49.90878, -65.92339
62, -49.90508, -52.92181
63, -49.89041, -76.81777
64, -49.87937, -52.51585
65, -49.73780, -55.40082
66, -49.56312, -64.60986
67, -49.56241, -68.12519
68, -49.55609, -80.66434
69, -49.55609, -81.74409
70, -49.55609, -72.29582
71, -49.55609, -123.73690
72, -49.55431, -70.68005
73, -49.34439, -78.27113
74, -49.34410, -91.36825
75, -49.34163, -71.27530
76, -49.34163, -82.55139
77, -49.34063, -73.82013
78, -49.14782, -73.69700
79, -49.09112, -68.33120
