Generation, Best Fitness, Average Fitness
1, -125358862.24615, -125610200.16164
2, -123758212.43633, -125600293.05977
3, -40790518.10330, -125447866.24815
4, -14133071.38155, -4235670045.32661
5, -14133071.38155, -17013189562.20518
6, -14133071.38155, -166634513639.27680
7, -9114565.88627, -156012353444.77094
8, -9114565.88627, -20698264655011.45300
9, -9114565.88627, -21420221766703.26600
10, -9114565.88627, -315178601049.79860
11, -9114565.88627, -651555037067.27440
12, -9114565.88627, -439388196791.27670
13, -1118833.61217, -979515119942.20890
14, -1118833.61217, -6767694380268.25200
15, -1118833.61217, -48887609915963.73400
16, -1118833.61217, -8062563585905.61300
17, -1118833.61217, -495698853217266.06000
18, -1118833.61217, -507888987536671.06000
19, -1118833.61217, -276570952592622.34000
20, -1118833.61217, -231849206167975.53000
21, -1118833.61217, -25590701298739.28000
22, -1118833.61217, -486018880724316.10000
23, -1118833.61217, -5248654497779458.00000
24, -1118833.61217, -861795751005436.20000
25, -1118833.61217, -17692614667886.81200
26, -1118833.61217, -2092494509124443.00000
27, -1118833.61217, -1900551056640484.20000
28, -1118417.85604, -832841886888828.60000
29, -293685.84105, -29704860350971440.00000
30, -293685.84105, -439343786821852.50000
31, -293685.84105, -11068953356697.35000
32, -293685.84105, -773521310524878.60000
33, -293685.84105, -230142094264995.12000
34, -293685.84105, -1636297704930766.20000
35, -293562.52105, -225237848135188.70000
36, -293562.52105, -4039914047871692.00000
37, -293562.52105, -1076691526411764000000.00000
38, -293562.52105, -35220856299553276.00000
39, -293562.52105, -269251355058153920.00000
40, -122678.39218, -3492032557781594.00000
41, -122678.39218, -45427443506533.76600
42, -122678.39218, -103564659592544.05000
43, -122678.39218, -2639645614797038.50000
44, -122678.39218, -782922921483570.00000
45, -122678.39218, -293499612243324500.00000
46, -122678.39218, -1502505359491396900.00000
47, -122678.39218, -162689412431101850000.00000
48, -122219.70558, -161653577082286200000.00000
49, -122219.70558, -2479891222597148000000000000.00000
50, -122219.70558, -86709309865245840000000000.00000
51, -122219.70558, -286562662697420060.00000
52, -122219.70558, -14334521928838829000000.00000
53, -122219.70558, -726741463230141300000.00000
54, -122219.70558, -864490901518846600000000000000.00000
55, -88959.80823, -6712211146507887000000000000000.00000
56, -88959.80823, -17035731500134195000.00000
57, -72650.65099, -260623472393047000000.00000
58, -72650.65099, -192507523371081880000000000.00000
59, -72650.65099, -15920750236158175000000000000.00000
60, -72650.65099, -35136536579001532000.00000
61, -42365.23060, -77302130338467950000000.00000
62, -42365.23060, -1668617399708160.50000
63, -42365.23060, -477294075523313460000000000000000.00000
64, -42365.23060, -765524337988167900000000.00000
65, -42365.23060, -765424143219506200000000.00000
66, -42365.23060, -1959012140337183500.00000
67, -42365.23060, -648317467238150.50000
68, -42365.23060, -4168195965781686.50000
69, -42365.23060, -1527055473849727400000000000000.00000
70, -42365.23060, -1071592001704635400000.00000
71, -42365.23060, -3647312584241252000000000000000000000000000000.00000
72, -42365.23060, -15169607590426360000000000.00000
73, -42365.23060, -22909818655120920000000000000000.00000
74, -42365.23060, -374832736464421200000000.00000
75, -42365.23060, -157150953459699740.00000
76, -42365.23060, -8717258833849269000000000000.00000
77, -42365.23060, -19003248108784459000000000000000.00000
78, -41202.00947, -276094703234536470000000000.00000
79, -41202.00947, -276094612965984440000000000.00000
