Generation, Best Fitness, Average Fitness
1, -6995.70442, -7357.51709
2, -6995.70442, -7301.42978
3, -6830.89452, -7238.96138
4, -6830.89452, -7218.22806
5, -5347.82440, -7206.11947
6, -5347.82440, -7190.75460
7, -5088.97111, -7206.98012
8, -4912.12916, -7182.04177
9, -3531.73373, -7108.20939
10, -3531.73373, -7306.40485
11, -3531.73373, -7605.38709
12, -3531.73373, -8203.87132
13, -3088.74390, -7756.55782
14, -3088.74390, -8054.27676
15, -3088.74390, -9334.32325
16, -2240.89559, -9514.14844
17, -2240.89559, -11393.19314
18, -1971.48698, -13000.88379
19, -1152.47324, -14528.30911
20, -979.33819, -11559.41756
21, -979.33819, -8874.10688
22, -427.80761, -20599.24680
23, -427.80761, -22706.45231
24, -427.80761, -17862.36901
25, -427.80761, -10100.86214
26, -170.63824, -12783.94899
27, -170.63824, -50928.47650
28, -167.71669, -13627.82846
29, -167.71669, -15660.93265
30, -163.87720, -12648.48193
31, -163.87720, -14158.67216
32, -163.87720, -20368.91421
33, -163.87720, -41994.69631
34, -163.87720, -10066.94745
35, -163.87720, -10296.38190
36, -163.87720, -14884.75955
37, -160.87189, -40497.21160
38, -160.87189, -33875.12818
39, -160.87189, -14176.67778
40, -159.27173, -10868.90937
41, -159.27173, -8222.96339
42, -156.43553, -9539.38733
43, -156.43553, -10644.59953
44, -156.43553, -11316.00129
45, -156.43553, -18207.97093
46, -156.43553, -10016.39802
47, -156.43553, -30318.67961
48, -156.43553, -20850.74585
49, -156.43553, -18888.37671
50, -156.43553, -35178.58556
51, -156.43553, -14835.65363
52, -156.43553, -4016571.79596
53, -156.43553, -21106348.56773
54, -156.43553, -1604190807.23679
55, -156.43553, -1583897032.49954
56, -156.43553, -67133.72388
57, -156.43553, -734532.18335
58, -156.43553, -151079.56981
59, -76.31507, -887274.01154
60, -76.31507, -502241.82070
61, -76.31507, -8809.97785
62, -76.31507, -128374.88316
63, -76.31507, -58728.28396
64, -76.31507, -57260.81923
65, -76.31507, -23417.41844
66, -76.31507, -88992.68222
67, -76.31507, -7522.58176
68, -76.31507, -15212.55604
69, -76.31507, -35188.22934
70, -76.31507, -286296.27528
71, -76.31507, -202108.35861
72, -76.31507, -244467.56895
73, -76.31507, -495614.32555
74, -76.31507, -15828145.24672
75, -76.31507, -80800.82659
76, -76.31507, -12140409.86649
77, -76.31507, -109444.15293
78, -76.31507, -91160.69045
79, -76.31507, -4404483.80984
