Generation, Best Fitness, Average Fitness
1, -59.83076, -406.77550
2, -50.30697, -310.43679
3, -20.32794, -283.76006
4, -17.87920, -793.90347
5, -11.94132, -736.03995
6, -1.25136, -280.87734
7, -1.22533, -258.10592
8, -1.22533, -264.08133
9, -1.22533, -6745.42781
10, -0.26123, -957.94521
11, -0.26123, -307.09950
12, -0.26123, -503.11144
13, -0.00002, -138.78689
14, -0.00002, -778.17392
15, -0.00002, -103.13733
16, -0.00002, -1704.26036
17, -0.00002, -87.84445
18, -0.00002, -145.07079
19, -0.00002, -169.41717
20, -0.00002, -47.84536
21, -0.00002, -56.87543
22, -0.00002, -56.68630
23, -0.00002, -342.27157
24, -0.00002, -84.26474
25, -0.00002, -101.70251
26, -0.00002, -100.37371
27, -0.00002, -66.70724
28, -0.00002, -38.66651
29, -0.00002, -313.06791
30, -0.00002, -67.56547
31, -0.00002, -93.49137
32, -0.00002, -69.75506
33, -0.00002, -59.92931
34, -0.00002, -262.48230
35, -0.00002, -70.27610
36, -0.00002, -14.17337
37, -0.00002, -18.96296
38, -0.00002, -4.95701
39, -0.00002, -5.81578
40, -0.00002, -3.42341
41, -0.00002, -6.88069
42, -0.00002, -18.82602
43, -0.00002, -4.58823
44, -0.00002, -3.31625
45, -0.00002, -2.36365
46, -0.00002, -3.99345
47, -0.00002, -39.14444
48, -0.00002, -0.75996
49, -0.00002, -0.80791
50, -0.00002, -1.25653
51, -0.00001, -19.23749
52, -0.00001, -1.25936
53, -0.00001, -3.96704
54, -0.00001, -0.94033
55, -0.00001, -2.34722
56, -0.00001, -1.62342
57, -0.00001, -1.05133
58, -0.00001, -1.13773
59, -0.00001, -2.14865
60, -0.00001, -11.85712
61, -0.00001, -0.98163
62, -0.00001, -1.42806
63, -0.00001, -2.11918
64, -0.00001, -0.57215
65, -0.00001, -0.83197
66, -0.00001, -0.60698
67, -0.00001, -0.75870
68, -0.00001, -0.46444
69, -0.00001, -0.93314
70, -0.00001, -1.51656
71, -0.00001, -5.53049
72, -0.00001, -1.57452
73, -0.00001, -1.26774
74, -0.00001, -1.25704
75, -0.00001, -2.05460
76, -0.00001, -0.78160
77, -0.00001, -1.37258
78, -0.00001, -0.95235
79, -0.00001, -19.21501
