Generation, Best Fitness, Average Fitness
1, -506.76350, -1140.00630
2, -504.36494, -1136.69612
3, -104.21825, -967.77138
4, -0.00000, -857.36975
5, -0.00000, -773.54567
6, -0.00000, -719.78141
7, -0.00000, -651.28940
8, -0.00000, -554.46025
9, -0.00000, -487.55381
10, -0.00000, -421.76698
11, -0.00000, -389.63409
12, -0.00000, -357.89539
13, -0.00000, -322.00220
14, -0.00000, -321.16088
15, -0.00000, -326.78454
16, -0.00000, -309.67507
17, -0.00000, -309.22856
18, -0.00000, -318.82827
19, -0.00000, -320.12047
20, -0.00000, -322.44802
21, -0.00000, -315.25656
22, -0.00000, -313.87345
23, -0.00000, -306.27077
24, -0.00000, -303.07508
25, -0.00000, -303.11693
26, -0.00000, -314.08034
27, -0.00000, -308.18648
28, -0.00000, -307.72825
29, -0.00000, -290.55799
30, -0.00000, -300.28333
31, -0.00000, -303.21619
32, -0.00000, -310.04281
33, -0.00000, -286.78607
34, -0.00000, -301.21083
35, -0.00000, -301.66149
36, -0.00000, -307.31055
37, -0.00000, -300.80006
38, -0.00000, -299.27298
39, -0.00000, -305.03797
40, -0.00000, -291.21475
41, -0.00000, -305.62869
42, -0.00000, -291.72525
43, -0.00000, -294.37313
44, -0.00000, -299.86554
45, -0.00000, -292.54644
46, -0.00000, -297.62368
47, -0.00000, -296.86614
48, -0.00000, -287.02163
49, -0.00000, -295.18504
50, -0.00000, -286.61164
51, -0.00000, -296.23693
52, -0.00000, -313.94796
53, -0.00000, -302.17894
54, -0.00000, -299.99753
55, -0.00000, -297.42838
56, -0.00000, -299.85571
57, -0.00000, -303.02217
58, -0.00000, -323.48160
59, -0.00000, -319.30672
60, -0.00000, -312.93945
61, -0.00000, -304.62282
62, -0.00000, -309.97577
63, -0.00000, -297.44309
64, -0.00000, -304.03613
65, -0.00000, -304.89800
66, -0.00000, -301.75411
67, -0.00000, -282.20166
68, -0.00000, -277.03587
69, -0.00000, -294.66877
70, -0.00000, -297.72837
71, -0.00000, -300.96995
72, -0.00000, -292.14003
73, -0.00000, -286.87408
74, -0.00000, -271.19361
75, -0.00000, -279.39268
76, -0.00000, -298.09993
77, -0.00000, -301.59822
78, -0.00000, -285.63185
79, -0.00000, -309.94944
