Generation, Best Fitness, Average Fitness
1, -64.19451, -396.26001
2, -64.19451, -315.50537
3, -64.19451, -490.72005
4, -64.19451, -294.88005
5, -64.19451, -491.27421
6, -64.19451, -661.48365
7, -63.38364, -204.30301
8, -63.38364, -191.97429
9, -63.38364, -232.37865
10, -63.38364, -2123.13867
11, -63.37169, -211.45336
12, -63.37169, -309.48777
13, -62.89811, -215.00848
14, -62.89811, -238.14799
15, -49.72989, -101.14260
16, -49.72989, -114.91344
17, -49.72989, -1223.07578
18, -49.72989, -102.28413
19, -49.72989, -100.51124
20, -49.72079, -90.45376
21, -43.87309, -107.35086
22, -43.87309, -213.51904
23, -43.87309, -282.85227
24, -43.87309, -91.54872
25, -43.87309, -111.01893
26, -43.87309, -69.86983
27, -43.87309, -81.83930
28, -43.87309, -82.25474
29, -43.87309, -69.94150
30, -43.87309, -68.50456
31, -42.26538, -83.73207
32, -41.16987, -72.43245
33, -33.15047, -75.55428
34, -33.15042, -65.82723
35, -31.78430, -53.28481
36, -31.49095, -50.87660
37, -31.04897, -42.90291
38, -30.58977, -38.64162
39, -30.58977, -37.94296
40, -30.51049, -43.66229
41, -30.51049, -37.25459
42, -29.82106, -46.22802
43, -28.36295, -35.34935
44, -28.36295, -35.86265
45, -28.36295, -35.45151
46, -27.93344, -35.16469
47, -27.93344, -36.64224
48, -25.57705, -33.16530
49, -25.01073, -36.50649
50, -25.01073, -36.06947
51, -24.93563, -32.99595
52, -24.72783, -31.44879
53, -24.72783, -31.99486
54, -24.22640, -31.57186
55, -24.22640, -29.44839
56, -24.08658, -29.90987
57, -23.97109, -27.78140
58, -22.59703, -29.62736
59, -22.59703, -28.28224
60, -22.59703, -27.96486
61, -22.45892, -27.65431
62, -22.45892, -28.53824
63, -22.45892, -28.19115
64, -20.44379, -27.78218
65, -20.44379, -27.14003
66, -20.44379, -26.90767
67, -20.44379, -27.09329
68, -20.44379, -28.12383
69, -20.44379, -28.52995
70, -20.44379, -32.01184
71, -20.44379, -31.20773
72, -20.44379, -31.19413
73, -20.44379, -25.89523
74, -20.44379, -28.61575
75, -20.44379, -28.41100
76, -20.44379, -25.91522
77, -20.44379, -30.82445
78, -20.44379, -25.57142
79, -20.44379, -25.99996
