Generation, Best Fitness, Average Fitness
1, -417.98999, -3501.40090
2, -417.98999, -2982.91498
3, -417.98192, -2281.80610
4, -417.98192, -1955.69538
5, -417.98192, -2004.39464
6, -417.98192, -1801.39814
7, -417.98192, -1766.07686
8, -417.98192, -1769.96417
9, -417.98192, -1978.17882
10, -417.98192, -1531.66275
11, -417.98192, -2096.70688
12, -417.98192, -1596.10656
13, -417.98192, -1504.56481
14, -417.98192, -1313.78946
15, -417.98192, -2038.23085
16, -417.98192, -2769.02187
17, -417.98192, -1487.69920
18, -417.98192, -1394.50715
19, -417.98192, -1782.75730
20, -417.98192, -1423.77292
21, -417.98192, -1914.67645
22, -417.98192, -1305.98456
23, -417.98192, -1609.16076
24, -299.89535, -1659.39157
25, -299.89535, -1701.46882
26, -299.89535, -1989.70086
27, -299.89535, -1688.76115
28, -299.89535, -1810.65321
29, -299.89535, -1866.45150
30, -299.89535, -1830.58281
31, -299.89535, -1415.60885
32, -299.89535, -2687.91801
33, -299.89535, -2591.51084
34, -212.14058, -1611.81913
35, -154.16804, -1626.95363
36, -154.16804, -1700.74026
37, -137.08503, -1864.47539
38, -137.08503, -2722.65968
39, -137.08503, -1615.64243
40, -137.08503, -1323.85771
41, -137.08503, -1430.98690
42, -136.61631, -2038.78398
43, -125.17904, -3227.29241
44, -115.82568, -1573.00139
45, -110.52924, -659.29549
46, -108.11181, -348.67788
47, -105.80252, -678.38376
48, -103.61029, -426.04382
49, -102.34585, -485.28666
50, -102.34585, -764.10113
51, -100.89995, -281.81678
52, -100.89995, -721.42239
53, -100.74331, -1046.84409
54, -100.68025, -399.86367
55, -100.16137, -539.26502
56, -98.71164, -2745.14171
57, -98.71164, -218.33890
58, -97.65175, -34923.88026
59, -96.33737, -888.65340
60, -95.86614, -816.72923
61, -95.52174, -493.65622
62, -95.52174, -240.89818
63, -95.03368, -520.34916
64, -94.77267, -522.26019
65, -94.77267, -1375.23651
66, -94.46238, -179.07844
67, -92.65962, -776.04705
68, -90.28615, -1700.17322
69, -90.28615, -258.47618
70, -90.28615, -231.29936
71, -90.28615, -454.99614
72, -90.28615, -793.48381
73, -89.53329, -743.16658
74, -89.48833, -1003.64620
75, -86.46206, -152.79952
76, -86.46206, -163.78940
77, -86.46206, -210.20085
78, -86.46206, -288.44078
79, -86.46206, -145.58980
80, -86.46206, -126421.81317
81, -86.02992, -140.62733
82, -86.02992, -442.50886
83, -86.02992, -155.24619
84, -85.93027, -737.40705
85, -83.66886, -142.13947
86, -80.46728, -174.34886
87, -78.97879, -404.07642
88, -78.97879, -137.27703
89, -78.95618, -129.73899
