Generation, Best Fitness, Average Fitness
1, -133.56768, -669.40638
2, -133.56768, -544.67806
3, -133.56768, -462.35339
4, -133.56768, -420.72777
5, -133.56768, -379.49487
6, -133.56768, -358.07704
7, -133.56768, -340.36216
8, -133.56768, -322.68726
9, -133.56768, -301.20390
10, -133.56768, -286.96921
11, -133.56768, -282.95372
12, -133.56768, -279.43973
13, -133.56768, -277.49262
14, -133.56768, -272.84833
15, -133.56768, -275.86164
16, -133.56768, -303.97784
17, -131.74099, -300.01063
18, -96.05844, -321.51385
19, -96.05844, -295.86785
20, -96.05844, -313.50302
21, -83.26028, -365.99308
22, -83.26028, -436.66223
23, -79.30514, -721.24660
24, -79.30514, -766.72958
25, -79.30514, -1729.38960
26, -79.30514, -4057.41976
27, -67.91542, -2146.39132
28, -67.91542, -3730.69945
29, -65.57088, -18331.38567
30, -57.70183, -10762.50363
31, -57.70183, -5934.16650
32, -35.28495, -13655.34829
33, -35.28495, -5889.68500
34, -35.28495, -33098.23080
35, -35.28495, -2720.90607
36, -32.64382, -3819.37380
37, -32.64382, -10733.19146
38, -21.79144, -3642.47931
39, -21.79144, -1927.10634
40, -20.92184, -2526.54274
41, -20.01267, -2185.37286
42, -20.01267, -21457.43011
43, -17.78491, -883.15578
44, -17.78491, -1386.02360
45, -16.74892, -1109.63967
46, -16.69808, -623.30489
47, -16.69364, -392.85141
48, -16.49023, -1516.52596
49, -15.75560, -1082.05463
50, -15.75560, -2162.82842
51, -15.16075, -2079.00951
52, -15.16075, -454.37580
53, -15.16075, -11812.25843
54, -15.16075, -1240.29304
55, -15.16075, -980.76412
56, -15.10897, -190.66562
57, -15.10501, -2729.17947
58, -15.04008, -13461.86643
59, -12.74513, -586.61347
60, -12.54890, -586.89815
61, -12.54890, -1250.60157
62, -12.23006, -507.39274
63, -11.17423, -332.54557
64, -10.99688, -659.34302
65, -10.84867, -179409.07087
66, -10.84867, -172781.04483
67, -10.06434, -1014154.85707
68, -9.93233, -1017118.66654
69, -9.76216, -1375.16838
70, -9.40636, -797.56333
71, -9.10535, -1571.82204
72, -8.36426, -633.78629
73, -8.14834, -675.94146
74, -8.07314, -1358.82648
75, -7.36947, -4303.12017
76, -7.36947, -1133.77864
77, -6.34704, -7782.53520
78, -6.34704, -3566.34325
79, -6.34704, -504.50650
80, -6.34704, -816.56262
81, -6.34704, -495.96524
82, -6.34704, -1050.57477
83, -6.34704, -1583.21237
84, -6.34704, -9834.29825
85, -6.34704, -9915.91511
86, -6.34704, -338.57218
87, -5.63465, -1626.95294
88, -5.63459, -1377.93395
89, -4.71260, -4219.94594
