Generation, Best Fitness, Average Fitness
1, -191.97104, -760.55417
2, -191.97104, -641.94438
3, -191.97104, -542.12704
4, -191.68163, -571.43259
5, -191.40224, -510.67422
6, -191.40224, -800.92904
7, -191.40065, -815.39723
8, -191.39105, -695.65449
9, -191.39105, -697.75727
10, -191.39105, -782.48314
11, -191.39105, -667.43902
12, -191.39105, -1455.31455
13, -191.39105, -1488.36992
14, -190.76782, -648.15942
15, -190.76782, -597.19636
16, -190.76782, -501.92069
17, -190.76782, -533.83501
18, -190.60592, -431.69147
19, -190.55751, -496.50889
20, -190.47752, -390.79011
21, -190.42922, -363.90404
22, -190.30632, -431.72991
23, -190.23377, -352.85889
24, -190.23377, -318.55119
25, -190.03079, -326.31188
26, -190.03079, -247.74775
27, -189.97172, -267.09302
28, -189.58239, -271.12884
29, -189.58239, -247.21585
30, -189.58239, -248.64830
31, -189.58239, -241.57493
32, -189.58239, -214.45032
33, -189.58239, -320.85920
34, -189.58239, -238.52227
35, -189.58239, -251.61304
36, -189.23516, -285.74282
37, -189.06681, -243.36375
38, -189.02200, -227.52027
39, -188.98477, -196.51116
40, -188.73736, -207.05407
41, -188.73519, -213.32059
42, -188.70525, -210.26742
43, -188.54904, -225.99161
44, -188.54904, -205.32944
45, -188.44779, -208.02528
46, -188.37450, -195.62725
47, -188.32464, -219.53906
48, -188.13437, -239.13201
49, -188.13437, -193.10088
50, -188.13437, -200.49415
51, -187.97088, -199.47888
52, -187.97088, -208.50857
53, -187.97088, -231.63874
54, -187.97088, -192.53207
55, -187.97088, -206.69681
56, -187.97088, -208.04743
57, -187.86498, -191.30416
58, -187.86420, -228.28976
59, -187.84635, -224.57483
60, -187.75704, -206.35570
61, -187.74173, -219.26112
62, -187.74173, -226.69130
63, -187.69151, -208.52928
64, -187.64439, -270.22228
65, -187.64439, -219.55732
66, -187.64439, -243.28209
67, -187.60950, -197.51126
68, -187.60162, -911.81805
69, -187.37844, -212.73587
70, -187.37834, -240.54496
71, -187.34119, -207.00790
72, -187.30598, -243.42926
73, -187.30108, -192.06642
74, -187.27986, -211.14867
75, -187.25940, -212.60256
76, -187.24872, -206.93283
77, -187.24872, -241.13474
78, -187.19701, -192.79304
79, -187.19701, -191.23495
