x1, Expected Value, Function Value

5.27, 3.6715527092896587, 3.6651451759307654
6.55, 4.043095126521867, 4.042295651737335
4.64, 3.459768131019935, 3.4577674635377194
7.18, 4.2033843012293115, 4.201136292419431
6.82, 4.11336910911444, 4.112759488696927
1.91, 2.1363061623668025, 2.1531086709733644
2.64, 2.583967363297299, 2.583326693021177
8.0, 4.394449154672439, 4.382330522134245
0.45, 0.743127112864966, 0.9610279719111088
6.91, 4.136255563559125, 4.135428306342417
1.09, 1.4743281319534391, 1.5649138164636
1.82, 2.0734737699000445, 2.094673660051553
3.18, 2.86062249307333, 2.8582359544637312
7.73, 4.333530739703022, 4.325431983712965
7.82, 4.3540437400374, 4.344678130836929
1.64, 1.9415578343164492, 1.9737429502856825
1.73, 2.008603218393737, 2.034903754127244
2.18, 2.313762393584171, 2.3208750140516194
2.82, 2.6805008452369674, 2.678667529245212
3.0, 2.772588722239781, 2.7702430975950083
2.55, 2.5338952069746488, 2.534109744927153
7.91, 4.374348482965436, 4.363641228605236
7.36, 4.246916854193221, 4.243147846667036
5.0, 3.58351893845611, 3.5790925678706524
7.0, 4.1588830833596715, 4.157705762425547
5.82, 3.8397189437107415, 3.8384002747171926
3.45, 2.9858081923562976, 2.983873577907873
2.91, 2.727074747994549, 2.724914235675561
8.36, 4.472890580979001, 4.45446569701955
2.09, 2.256342181819308, 2.266167325821736
3.64, 3.069428732476328, 3.0679558572129366
4.18, 3.2896101125427832, 3.2888792919624974
6.45, 4.016428064782937, 4.015230468368891
2.27, 2.369579969818324, 2.3744086583343478
6.36, 3.9921198654815697, 3.990415138887661
7.09, 4.181257462140801, 4.1796046352757354
0.0, 0.0, 0.6815654465114012
0.18, 0.33102887695514666, 0.6852203220184937
0.55, 0.8765098618623106, 1.0712292437079185
5.55, 3.758930099294321, 3.7513199354499323
0.64, 0.9893924836722142, 1.1641114173974454
7.27, 4.2252690180712, 4.222313198527606
0.91, 1.294206484117077, 1.4145937963566073
3.55, 3.0302544659257182, 3.0285602885240754
0.09, 0.17235539248210482, 0.6576953221157181
1.36, 1.7173232380750376, 1.7737985225276227
8.27, 4.453566759155527, 4.436810550711312
4.82, 3.522600523486693, 3.5195044614404734
4.36, 3.3579279501654216, 3.356964934483861
8.45, 4.492029483011303, 4.471878780699618
5.18, 3.642636542939199, 3.636841240215728
7.55, 4.291862565897338, 4.286056605900372
8.18, 4.434054409264798, 4.4189065784219
0.73, 1.0962428170193752, 1.252174468442321
6.27, 3.9675125830908557, 3.965152133391262
5.91, 3.8659392755591573, 3.8658305720050907
7.45, 4.268332882738164, 4.263651024943972
4.0, 3.2188758248682006, 3.2180879405464244
3.09, 2.8170899401094207, 2.8146764366750565
3.73, 3.1078504050076834, 3.1065942328622698
2.45, 2.4767484620865368, 2.4787221078873456
8.55, 4.513082308985278, 4.490948299751273
1.55, 1.8721867183406695, 1.9111257641898267
2.36, 2.4238819479502256, 2.426747052151723
6.09, 3.917370681088072, 3.917025401991634
1.27, 1.6395596629866227, 1.706109328295678
3.82, 3.145547856125018, 3.1444848878310205
6.64, 4.066795206356858, 4.066202535401866
0.36, 0.6149693994959211, 0.8568175958632266
2.73, 2.6328164673114482, 2.6314799372724247
4.45, 3.3912312173503056, 3.390027161593078
7.64, 4.312805165631929, 4.305894444508164
4.91, 3.553291662836014, 3.549549216247101
8.64, 4.531842217244908, 4.507866981744613
4.09, 3.2545556611248627, 3.253828165797909
6.73, 4.090217725198661, 4.0896876954458055
4.27, 3.3240607251065417, 3.323249168814157
6.18, 3.9425987661202657, 3.9393850993506128
5.64, 3.786223926976685, 3.778431196300421
4.73, 3.4914310614532966, 3.48891381056689
1.45, 1.7921760491132714, 1.8397525923620672
9.0, 4.605170185988092, 4.573305643451944
0.27, 0.47803380094099984, 0.7584977195282767
3.36, 2.9449441147218858, 2.942815127736194
2.0, 2.1972245773362196, 2.210258465173763
8.91, 4.587088696683793, 4.5572894603475005
5.36, 3.7000567547040615, 3.69313399644929
6.0, 3.8918202981106265, 3.8901482074628575
8.73, 4.550427792395827, 4.524559863263675
3.27, 2.903227654481066, 2.9009422034315313
0.82, 1.1976730021774078, 1.3353069547195338
1.18, 1.558649753601995, 1.6365365921203732
1.0, 1.3862943611198906, 1.4910220073108729
8.82, 4.568842244732749, 4.541031473420582
5.09, 3.613296163443611, 3.6081739752849997
3.91, 3.1825478836128585, 3.181642558309868
4.55, 3.427595855516686, 3.426021141708069
5.73, 3.813150287313273, 3.806384385975102
8.09, 4.414349816378775, 4.400748179629642
5.45, 3.728160261615362, 3.7208429176484312
