x1, Expected Value, Function Value

91.0, 9.043577154098081, 8.994915532185956
0.0, 0.0, -0.23077467649259376
56.0, 8.0861025356691, 8.166946389025316
93.0, 9.086589564540008, 9.028666591876096
77.0, 8.713417653379183, 8.72534065544668
40.0, 7.427144133408616, 7.525932317392113
17.0, 5.780743515792329, 5.745372578881786
42.0, 7.522400231387125, 7.621448457508757
63.0, 8.317766166719343, 8.379343549929029
24.0, 6.437751649736401, 6.477882767828944
92.0, 9.065198986306513, 9.011897061879711
41.0, 7.475339236566737, 7.573902397074361
27.0, 6.664409020350408, 6.722835425484086
84.0, 8.885302512980633, 8.868440568275052
67.0, 8.439015410352214, 8.487694067251345
99.0, 9.210340371976184, 9.123451851789834
94.0, 9.107753783201082, 9.045078666655053
98.0, 9.19023970026918, 9.10826902361839
88.0, 8.97727273946428, 8.942278427486793
33.0, 7.052721049232323, 7.138230761780423
35.0, 7.16703787691222, 7.257983520638582
13.0, 5.278114659230517, 5.188320272059147
65.0, 8.37930948405285, 8.434592488157259
30.0, 6.8679744089702925, 6.942248863772843
38.0, 7.327123292259293, 7.423426137690841
79.0, 8.764053269347762, 8.767704094042061
81.0, 8.813438494528507, 8.808823283743134
61.0, 8.254268770090183, 8.32186954514828
37.0, 7.275172319452771, 7.369917350587569
57.0, 8.120886021092838, 8.199155324278815
7.0, 4.1588830833596715, 4.018654009277336
23.0, 6.3561076606958915, 6.385154222212561
19.0, 5.991464547107982, 5.995094679704602
52.0, 7.940583827104244, 8.029903752355615
47.0, 7.742402021815782, 7.842397833066965
62.0, 8.286269452783065, 8.350891794304395
11.0, 4.969813299576001, 4.854193085425499
73.0, 8.60813018640834, 8.635354360049798
76.0, 8.687610843707368, 8.703332763713409
97.0, 9.169934957341145, 9.092840727740379
14.0, 5.41610040220442, 5.347613948425117
10.0, 4.795790545596741, 4.667997795126735
43.0, 7.568379267836522, 7.667518746399618
22.0, 6.270988431858299, 6.291253247501815
46.0, 7.700295203420117, 7.797528128482965
78.0, 8.738895704934043, 8.746733151199912
15.0, 5.545177444479562, 5.4831498631514615
59.0, 8.1886891244442, 8.261796635543998
58.0, 8.15507488781144, 8.231284329343609
90.0, 9.0217190130337, 8.97769635500831
8.0, 4.394449154672439, 4.253026572942412
53.0, 7.977968093128549, 8.065180697696917
49.0, 7.824046010856292, 7.918693365481594
6.0, 3.8918202981106265, 3.7668754336437456
34.0, 7.110696122978827, 7.20122152323645
71.0, 8.55333223803211, 8.587965911896083
68.0, 8.46821300919452, 8.513488300121965
1.0, 1.3862943611198906, 1.6198362458748576
55.0, 8.0507033814703, 8.134061407896695
85.0, 8.908694592507015, 8.886985713827881
4.0, 3.2188758248682006, 3.161753107172907
69.0, 8.496990484098719, 8.538794509358821
51.0, 7.902487437162855, 7.993389392020951
75.0, 8.661466680572662, 8.68104765836517
16.0, 5.666426688112432, 5.618151710812871
39.0, 7.3777589082278725, 7.476441663523346
80.0, 8.788898309344878, 8.788446123749525
89.0, 8.99961934066053, 8.960106191302355
26.0, 6.591673732008658, 6.643756040322294
18.0, 5.8888779583328805, 5.8658585409529564
74.0, 8.63497622707262, 8.658414752745074
29.0, 6.802394763324311, 6.8720545763681935
48.0, 7.783640596221253, 7.878866984238101
9.0, 4.605170185988092, 4.468505149188348
44.0, 7.613324979540639, 7.7117326833602124
82.0, 8.837681215593197, 8.829334953861853
70.0, 8.525359754082631, 8.56366921887963
31.0, 6.931471805599453, 7.009949732043378
96.0, 9.149421957006766, 9.077163099783096
36.0, 7.221835825288449, 7.314817600821254
3.0, 2.772588722239781, 2.7928646605849545
5.0, 3.58351893845611, 3.4801333655548703
32.0, 6.9930151229329605, 7.0752501160427395
60.0, 8.221747728346623, 8.292110518797724
12.0, 5.1298987149230735, 5.026488592754578
21.0, 6.182084906716632, 6.192738139121948
66.0, 8.409385238781931, 8.461422142450374
45.0, 7.65728279297819, 7.758976004916281
50.0, 7.8636512654486515, 7.956150341436387
28.0, 6.734591659972948, 6.7988519498921764
25.0, 6.516193076042964, 6.561238543433783
20.0, 6.089044875446846, 6.090036117341495
87.0, 8.954673628956414, 8.92415339873112
64.0, 8.348774539791274, 8.4072425789109
54.0, 8.014666370464942, 8.099832898711504
95.0, 9.128696382935672, 9.061238286552364
83.0, 8.861633597686627, 8.848561784962737
72.0, 8.580918882296782, 8.61197572296768
86.0, 8.931816237309167, 8.905717843438556
2.0, 2.1972245773362196, 2.334700862435178
